filepath,label
/home/ubuntu/Desktop/anh_clean_ML/image_A5994B7FDAA5181860FF39E941E46373102FE2D0B5F011FC3D9274F6CD56D526.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_8082E12F14367095709F5640A5960FEDB1BF48762953431816964B2969C60885.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_74375a1d0240be34648ab28fcb826adf.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_d9e8a3586e66093035e35ec9c694cf66.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_818991cf6a830472a051be233fc3d891.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_4fd2f0a05053ca09e49d0be4156b9e8f.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_150F9BBF901259B4C8BB5CA984E8955B0462E767677BB55FB6497B457A56D4C5.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_ef50645cded96393761e8c42f5c5b536.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_CDC5E221167802899D0B30B46F1DBA60B56128D7782451A5FF24BDB42CB320CF.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_9a90662cf6522ae5793238dd71b39875.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_E4DE2838F56F389C9F641C9E1A76245F3C53BEA039C3DF77075AFFF091CE5541.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_1CF1BA4E3167435ECDAFE24704FD6669BA76B1611132118D1BB742F63A48A46B.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_EC0027197A9B4C0015BE204CF958B45479027820826CB315757742FE43113D0E.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_B78F4E4F607A3CD8F2CB1381F79E9DD7F0ACD9E3A165B58E5589FEEFF3A062AE.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_B362250931B9071DB59D9CC93749F13FE8DB33E5F3D00062F72E7FDA01BC190A.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_E44E1BB05407AB37CAB40552D0BB4F04A8991E6B1C6F4F149370425E13DEC2F4.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_BenignB9E3EA6EEB08B324383FFA594B70519B631C0662427DE1A7CFCFC0B03BD2282D.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_219da58cc779c84a131af43a571fd121.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_9DCEC97FDF369066128E0A484A0C462B00361FF6259C9A62002D0626A322EE2B.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_de6df74ad4f55f5b05210934461432d8.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_F287FB9526B9F6B49FB9993E4B988898F5F967ACF48C760BDE8CC501C8D9ABC8.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_626DE40783401C836CEE86A4DA0C5F30FE6C06E7F2D569073253BF94C2FCB3A6.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_E10449B5117863337FF08D30B1CEF3D4DD6B580A1250950F672B2E09E704D5C6.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_dc120ed8c5f457abf906eda5a68b902b.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_32fcacf4cc74dbb1a3fc40b8994b7fa3.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_EE77D7E90B23E1A92509FF1E96C9426BF1BC3A91D325928170493C0B6A960B03.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_891d3d3fbb32660ddaafa96539da2d46.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_ae1cefee62982f541e594b92303b1ef3.png,1
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_418ef6bd92e444c4b465a8e540a47a11.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_E586947CC8A2D4336159A8B1DB1E93BBE744085805A28D059541553EFFC7F253.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_2F23C2314B76F26EAED7B22A4A38878485AD279207084701A36E59771754D354.apk.png,0
/home/ubuntu/Desktop/anh_dataset_Ml/image_VirusShare_20c144a05b1f9ca605991954596c883b.png,1
/home/ubuntu/Desktop/anh_clean_ML/image_1D1611793A8F4C06266DE700280591036EAE30B669A7F514FEA7DF858270E702.apk.png,0
/home/ubuntu/Desktop/anh_clean_ML/image_DEC87C1A73EA2592A9ECBF3B7F872C0ED660DC89429E0F14A98CECEC3E5A4AE9.apk.png,0
